avgCycles           n_FFMA_seqs    avgCPI          seqSize_IN_KB
       1030.0000    00000064         16.0938      2.00
       1158.0000    00000072         16.0833      2.25
       1286.0000    00000080         16.0750      2.50
       1414.0000    00000088         16.0682      2.75
       1542.0000    00000096         16.0625      3.00
       1670.0000    00000104         16.0577      3.25
       1798.0000    00000112         16.0536      3.50
       1926.0000    00000120         16.0500      3.75
       2054.0000    00000128         16.0469      4.00
       2182.0000    00000136         16.0441      4.25
       2310.0000    00000144         16.0417      4.50
       2438.0000    00000152         16.0395      4.75
       2566.0000    00000160         16.0375      5.00
       2694.0000    00000168         16.0357      5.25
       2822.0000    00000176         16.0341      5.50
       2950.0000    00000184         16.0326      5.75
       3078.0000    00000192         16.0312      6.00
       3206.0000    00000200         16.0300      6.25
       3334.0000    00000208         16.0288      6.50
       3462.0000    00000216         16.0278      6.75
       3590.0000    00000224         16.0268      7.00
       3718.0000    00000232         16.0259      7.25
       3846.0000    00000240         16.0250      7.50
       3974.0000    00000248         16.0242      7.75
       4102.0000    00000256         16.0234      8.00
       4230.0000    00000264         16.0227      8.25
       4358.0000    00000272         16.0221      8.50
       4486.0000    00000280         16.0214      8.75
       4614.0000    00000288         16.0208      9.00
       4742.0000    00000296         16.0203      9.25
       4870.0000    00000304         16.0197      9.50
       4998.0000    00000312         16.0192      9.75
       5126.0000    00000320         16.0188     10.00
       5254.0000    00000328         16.0183     10.25
       5382.0000    00000336         16.0179     10.50
       5510.0000    00000344         16.0174     10.75
       5638.0000    00000352         16.0170     11.00
       5766.0000    00000360         16.0167     11.25
       5894.0000    00000368         16.0163     11.50
       6022.0000    00000376         16.0160     11.75
       6150.0000    00000384         16.0156     12.00
       6278.0000    00000392         16.0153     12.25
       6406.0000    00000400         16.0150     12.50
       6534.0000    00000408         16.0147     12.75
       6662.0000    00000416         16.0144     13.00
       6790.0000    00000424         16.0142     13.25
       6918.0000    00000432         16.0139     13.50
       7046.0000    00000440         16.0136     13.75
       7174.0000    00000448         16.0134     14.00
       7302.0000    00000456         16.0132     14.25
       7430.0000    00000464         16.0129     14.50
       7558.0000    00000472         16.0127     14.75
       7686.0000    00000480         16.0125     15.00
       7814.0000    00000488         16.0123     15.25
       7942.0000    00000496         16.0121     15.50
       8070.0000    00000504         16.0119     15.75
       8198.0000    00000512         16.0117     16.00
       8326.0000    00000520         16.0115     16.25
       8454.0000    00000528         16.0114     16.50
       8582.0000    00000536         16.0112     16.75
       8710.0000    00000544         16.0110     17.00
       8838.0000    00000552         16.0109     17.25
       8966.0000    00000560         16.0107     17.50
       9094.0000    00000568         16.0106     17.75
       9222.0000    00000576         16.0104     18.00
       9350.0000    00000584         16.0103     18.25
       9478.0000    00000592         16.0101     18.50
       9606.0000    00000600         16.0100     18.75
       9734.0000    00000608         16.0099     19.00
       9862.0000    00000616         16.0097     19.25
       9990.0000    00000624         16.0096     19.50
      10118.0000    00000632         16.0095     19.75
      10246.0000    00000640         16.0094     20.00
      10374.0000    00000648         16.0093     20.25
      10502.0000    00000656         16.0091     20.50
      10630.0000    00000664         16.0090     20.75
      10758.0000    00000672         16.0089     21.00
      10886.0000    00000680         16.0088     21.25
      11014.0000    00000688         16.0087     21.50
      11142.0000    00000696         16.0086     21.75
      11270.0000    00000704         16.0085     22.00
      11398.0000    00000712         16.0084     22.25
      11526.0000    00000720         16.0083     22.50
      11654.0000    00000728         16.0082     22.75
      11782.0000    00000736         16.0082     23.00
      11910.0000    00000744         16.0081     23.25
      12038.0000    00000752         16.0080     23.50
      12166.0000    00000760         16.0079     23.75
      12294.0000    00000768         16.0078     24.00
      12422.0000    00000776         16.0077     24.25
      12550.0000    00000784         16.0077     24.50
      12678.0000    00000792         16.0076     24.75
      12806.0000    00000800         16.0075     25.00
      12934.0000    00000808         16.0074     25.25
      13062.0000    00000816         16.0074     25.50
      13190.0000    00000824         16.0073     25.75
      13318.0000    00000832         16.0072     26.00
      13452.0000    00000840         16.0143     26.25
      13579.0000    00000848         16.0130     26.50
      13708.0000    00000856         16.0140     26.75
      13837.0000    00000864         16.0150     27.00
      13964.0000    00000872         16.0138     27.25
      14092.0000    00000880         16.0136     27.50
      14219.0000    00000888         16.0124     27.75
      14348.0000    00000896         16.0134     28.00
      14476.0000    00000904         16.0133     28.25
      14604.0000    00000912         16.0132     28.50
      14733.0000    00000920         16.0141     28.75
      14861.0000    00000928         16.0140     29.00
      14988.0000    00000936         16.0128     29.25
      15116.0000    00000944         16.0127     29.50
      15244.0000    00000952         16.0126     29.75
      15372.0000    00000960         16.0125     30.00
      15502.0000    00000968         16.0145     30.25
      15631.0000    00000976         16.0154     30.50
      15758.0000    00000984         16.0142     30.75
      15886.0000    00000992         16.0141     31.00
      16014.0000    00001000         16.0140     31.25
      16142.0000    00001008         16.0139     31.50
      16276.0000    00001016         16.0197     31.75
      16444.0000    00001024         16.0586     32.00
      16651.0000    00001032         16.1347     32.25
