avgCycles           n_FFMA_seqs    avgCPI          seqSize_IN_KB
        518.0000    00000032         16.1875    0001
       1030.0000    00000064         16.0938    0002
       1542.0000    00000096         16.0625    0003
       2054.0000    00000128         16.0469    0004
       2566.0000    00000160         16.0375    0005
       3078.0000    00000192         16.0312    0006
       3590.0000    00000224         16.0268    0007
       4102.0000    00000256         16.0234    0008
       4614.0000    00000288         16.0208    0009
       5126.0000    00000320         16.0188    0010
       5638.0000    00000352         16.0170    0011
       6150.0000    00000384         16.0156    0012
       6662.0000    00000416         16.0144    0013
       7174.0000    00000448         16.0134    0014
       7686.0000    00000480         16.0125    0015
       8198.0000    00000512         16.0117    0016
       8710.0000    00000544         16.0110    0017
       9222.0000    00000576         16.0104    0018
       9734.0000    00000608         16.0099    0019
      10246.0000    00000640         16.0094    0020
      10758.0000    00000672         16.0089    0021
      11270.0000    00000704         16.0085    0022
      11782.0000    00000736         16.0082    0023
      12294.0000    00000768         16.0078    0024
      12806.0000    00000800         16.0075    0025
      13318.0000    00000832         16.0072    0026
      13830.0000    00000864         16.0069    0027
      14342.0000    00000896         16.0067    0028
      14854.0000    00000928         16.0065    0029
      15366.0000    00000960         16.0063    0030
      15890.0000    00000992         16.0181    0031
      16514.0000    00001024         16.1270    0032
      17673.0000    00001056         16.7358    0033
      18839.0000    00001088         17.3153    0034
      19934.0000    00001120         17.7982    0035
      20910.0000    00001152         18.1510    0036
      21526.0000    00001184         18.1807    0037
      22078.0000    00001216         18.1562    0038
      22669.0000    00001248         18.1643    0039
      23188.0000    00001280         18.1156    0040
      23779.0000    00001312         18.1242    0041
      24343.0000    00001344         18.1124    0042
      24956.0000    00001376         18.1366    0043
      25498.0000    00001408         18.1094    0044
      26078.0000    00001440         18.1097    0045
      26735.0000    00001472         18.1624    0046
      27304.0000    00001504         18.1543    0047
      27863.0000    00001536         18.1400    0048
      28405.0000    00001568         18.1154    0049
      29003.0000    00001600         18.1269    0050
      29618.0000    00001632         18.1483    0051
      30181.0000    00001664         18.1376    0052
      30736.0000    00001696         18.1226    0053
      31338.0000    00001728         18.1354    0054
      31957.0000    00001760         18.1574    0055
      32506.0000    00001792         18.1395    0056
      33086.0000    00001824         18.1393    0057
      33697.0000    00001856         18.1557    0058
      34194.0000    00001888         18.1112    0059
      34807.0000    00001920         18.1286    0060
      35335.0000    00001952         18.1019    0061
      35966.0000    00001984         18.1280    0062
      36553.0000    00002016         18.1314    0063
