avgCycles           n_FFMA_seqs    avgCPI          seqSize_IN_KB
       1030.0000    00000064         16.0938      2.0000
       1158.0000    00000072         16.0833      2.2500
       1286.0000    00000080         16.0750      2.5000
       1414.0000    00000088         16.0682      2.7500
       1542.0000    00000096         16.0625      3.0000
       1670.0000    00000104         16.0577      3.2500
       1798.0000    00000112         16.0536      3.5000
       1926.0000    00000120         16.0500      3.7500
       2054.0000    00000128         16.0469      4.0000
       2182.0000    00000136         16.0441      4.2500
       2310.0000    00000144         16.0417      4.5000
       2438.0000    00000152         16.0395      4.7500
       2566.0000    00000160         16.0375      5.0000
       2694.0000    00000168         16.0357      5.2500
       2822.0000    00000176         16.0341      5.5000
       2950.0000    00000184         16.0326      5.7500
       3078.0000    00000192         16.0312      6.0000
       3206.0000    00000200         16.0300      6.2500
       3334.0000    00000208         16.0288      6.5000
       3462.0000    00000216         16.0278      6.7500
       3590.0000    00000224         16.0268      7.0000
       3718.0000    00000232         16.0259      7.2500
       3846.0000    00000240         16.0250      7.5000
       3974.0000    00000248         16.0242      7.7500
       4102.0000    00000256         16.0234      8.0000
       4230.0000    00000264         16.0227      8.2500
       4358.0000    00000272         16.0221      8.5000
       4486.0000    00000280         16.0214      8.7500
       4614.0000    00000288         16.0208      9.0000
       4742.0000    00000296         16.0203      9.2500
       4870.0000    00000304         16.0197      9.5000
       4998.0000    00000312         16.0192      9.7500
       5126.0000    00000320         16.0188     10.0000
       5254.0000    00000328         16.0183     10.2500
       5382.0000    00000336         16.0179     10.5000
       5510.0000    00000344         16.0174     10.7500
       5638.0000    00000352         16.0170     11.0000
       5766.0000    00000360         16.0167     11.2500
       5894.0000    00000368         16.0163     11.5000
       6022.0000    00000376         16.0160     11.7500
       6150.0000    00000384         16.0156     12.0000
       6278.0000    00000392         16.0153     12.2500
       6406.0000    00000400         16.0150     12.5000
       6534.0000    00000408         16.0147     12.7500
       6662.0000    00000416         16.0144     13.0000
       6790.0000    00000424         16.0142     13.2500
       6918.0000    00000432         16.0139     13.5000
       7046.0000    00000440         16.0136     13.7500
       7174.0000    00000448         16.0134     14.0000
       7302.0000    00000456         16.0132     14.2500
       7430.0000    00000464         16.0129     14.5000
       7558.0000    00000472         16.0127     14.7500
       7686.0000    00000480         16.0125     15.0000
       7814.0000    00000488         16.0123     15.2500
       7942.0000    00000496         16.0121     15.5000
       8070.0000    00000504         16.0119     15.7500
       8198.0000    00000512         16.0117     16.0000
       8326.0000    00000520         16.0115     16.2500
       8454.0000    00000528         16.0114     16.5000
       8582.0000    00000536         16.0112     16.7500
       8710.0000    00000544         16.0110     17.0000
       8838.0000    00000552         16.0109     17.2500
       8966.0000    00000560         16.0107     17.5000
       9094.0000    00000568         16.0106     17.7500
       9222.0000    00000576         16.0104     18.0000
       9350.0000    00000584         16.0103     18.2500
       9478.0000    00000592         16.0101     18.5000
       9606.0000    00000600         16.0100     18.7500
       9734.0000    00000608         16.0099     19.0000
       9862.0000    00000616         16.0097     19.2500
       9990.0000    00000624         16.0096     19.5000
      10118.0000    00000632         16.0095     19.7500
      10246.0000    00000640         16.0094     20.0000
      10374.0000    00000648         16.0093     20.2500
      10502.0000    00000656         16.0091     20.5000
      10630.0000    00000664         16.0090     20.7500
      10758.0000    00000672         16.0089     21.0000
      10886.0000    00000680         16.0088     21.2500
      11014.0000    00000688         16.0087     21.5000
      11142.0000    00000696         16.0086     21.7500
      11270.0000    00000704         16.0085     22.0000
      11398.0000    00000712         16.0084     22.2500
      11526.0000    00000720         16.0083     22.5000
      11654.0000    00000728         16.0082     22.7500
      11782.0000    00000736         16.0082     23.0000
      11910.0000    00000744         16.0081     23.2500
      12038.0000    00000752         16.0080     23.5000
      12166.0000    00000760         16.0079     23.7500
      12294.0000    00000768         16.0078     24.0000
      12422.0000    00000776         16.0077     24.2500
      12550.0000    00000784         16.0077     24.5000
      12678.0000    00000792         16.0076     24.7500
      12806.0000    00000800         16.0075     25.0000
      12934.0000    00000808         16.0074     25.2500
      13062.0000    00000816         16.0074     25.5000
      13190.0000    00000824         16.0073     25.7500
      13318.0000    00000832         16.0072     26.0000
      13452.0000    00000840         16.0143     26.2500
      13579.0000    00000848         16.0130     26.5000
      13708.0000    00000856         16.0140     26.7500
      13836.0000    00000864         16.0139     27.0000
      13964.0000    00000872         16.0138     27.2500
      14092.0000    00000880         16.0136     27.5000
      14219.0000    00000888         16.0124     27.7500
      14347.0000    00000896         16.0123     28.0000
      14477.0000    00000904         16.0144     28.2500
      14605.0000    00000912         16.0143     28.5000
      14733.0000    00000920         16.0141     28.7500
      14860.0000    00000928         16.0129     29.0000
      14987.0000    00000936         16.0118     29.2500
      15116.0000    00000944         16.0127     29.5000
      15243.0000    00000952         16.0116     29.7500
      15373.0000    00000960         16.0135     30.0000
      15502.0000    00000968         16.0145     30.2500
      15630.0000    00000976         16.0143     30.5000
      15759.0000    00000984         16.0152     30.7500
      15885.0000    00000992         16.0131     31.0000
      16014.0000    00001000         16.0140     31.2500
      16143.0000    00001008         16.0149     31.5000
      16276.0000    00001016         16.0197     31.7500
      16443.0000    00001024         16.0576     32.0000
      16653.0000    00001032         16.1366     32.2500
      16898.0000    00001040         16.2481     32.5000
      17123.0000    00001048         16.3387     32.7500
      17329.0000    00001056         16.4100     33.0000
      17552.0000    00001064         16.4962     33.2500
      17758.0000    00001072         16.5653     33.5000
      17984.0000    00001080         16.6519     33.7500
      18210.0000    00001088         16.7371     34.0000
      18373.0000    00001096         16.7637     34.2500
      18579.0000    00001104         16.8288     34.5000
      18806.0000    00001112         16.9119     34.7500
      19047.0000    00001120         17.0063     35.0000
      19191.0000    00001128         17.0133     35.2500
      19468.0000    00001136         17.1373     35.5000
      19632.0000    00001144         17.1608     35.7500
      19861.0000    00001152         17.2405     36.0000
      20006.0000    00001160         17.2466     36.2500
      20203.0000    00001168         17.2971     36.5000
      20440.0000    00001176         17.3810     36.7500
      20677.0000    00001184         17.4637     37.0000
      20887.0000    00001192         17.5227     37.2500
