avgCycles                   n_FFMA_seqs    avgCPI      
               2110.0000    00000256          7.8731
               2635.5000    00000320          7.9383
               3147.5000    00000384          7.9482
               3659.5000    00000448          7.9554
               4171.5000    00000512          7.9609
               4683.5000    00000576          7.9651
               5195.5000    00000640          7.9686
               5707.5000    00000704          7.9714
               6219.5000    00000768          7.9737
               6731.5000    00000832          7.9757
               7243.5000    00000896          7.9774
               7755.5000    00000960          7.9789
               8267.5000    00001024          7.9802
               8779.5000    00001088          7.9814
               9291.5000    00001152          7.9824
               9803.5000    00001216          7.9833
              10315.5000    00001280          7.9841
              10827.5000    00001344          7.9849
              11339.5000    00001408          7.9856
              11851.5000    00001472          7.9862
              12363.5000    00001536          7.9868
              12875.5000    00001600          7.9873
              13387.5000    00001664          7.9878
              13899.5000    00001728          7.9882
              14411.5000    00001792          7.9886
              14923.5000    00001856          7.9890
              15435.5000    00001920          7.9894
              15947.5000    00001984          7.9897

              16459.5000    00002048          7.9900
              24651.5000    00003072          7.9934
              32893.0500    00004096          8.0071
              41539.7667    00005120          8.0943
              50194.0333    00006144          8.1537
              58890.1667    00007168          8.2020
              68610.1667    00008192          8.3630

              78187.5000    00009216          8.4729
              88695.9667    00010240          8.6516
              97779.5667    00011264          8.6715
             107938.1667    00012288          8.7755
             117036.2333    00013312          8.7839
             125959.9667    00014336          8.7789
             135243.5000    00015360          8.7980
             144595.0333    00016384          8.8189
