avgCycles           n_FFMA_seqs    avgCPI          seqSize_IN_KB
       1030.0000    00000256          4.0234      8.00
       1062.0000    00000264          4.0227      8.25
       1094.0000    00000272          4.0221      8.50
       1126.0000    00000280          4.0214      8.75
       1158.0000    00000288          4.0208      9.00
       1190.0000    00000296          4.0203      9.25
       1222.0000    00000304          4.0197      9.50
       1254.0000    00000312          4.0192      9.75
       1286.0000    00000320          4.0187     10.00
       1318.0000    00000328          4.0183     10.25
       1350.0000    00000336          4.0179     10.50
       1382.0000    00000344          4.0174     10.75
       1414.0000    00000352          4.0170     11.00
       1446.0000    00000360          4.0167     11.25
       1478.0000    00000368          4.0163     11.50
       1510.0000    00000376          4.0160     11.75
       1542.0000    00000384          4.0156     12.00
       1574.0000    00000392          4.0153     12.25
       1606.0000    00000400          4.0150     12.50
       1638.0000    00000408          4.0147     12.75
       1670.0000    00000416          4.0144     13.00
       1702.0000    00000424          4.0142     13.25
       1734.0000    00000432          4.0139     13.50
       1766.0000    00000440          4.0136     13.75
       1798.0000    00000448          4.0134     14.00
       1830.0000    00000456          4.0132     14.25
       1862.0000    00000464          4.0129     14.50
       1894.0000    00000472          4.0127     14.75
       1926.0000    00000480          4.0125     15.00
       1958.0000    00000488          4.0123     15.25
       1990.0000    00000496          4.0121     15.50
       2022.0000    00000504          4.0119     15.75
       2205.0000    00000512          4.3066     16.00
       2393.0000    00000520          4.6019     16.25
       2581.0000    00000528          4.8883     16.50
       2821.0000    00000536          5.2631     16.75
       3009.0000    00000544          5.5312     17.00
       3197.0000    00000552          5.7917     17.25
       3437.0000    00000560          6.1375     17.50
       3625.0000    00000568          6.3820     17.75
       3813.0000    00000576          6.6198     18.00
       4053.0000    00000584          6.9401     18.25
       4241.0000    00000592          7.1639     18.50
       4429.0000    00000600          7.3817     18.75
       4669.0000    00000608          7.6793     19.00
       4857.0000    00000616          7.8847     19.25
       5045.0000    00000624          8.0849     19.50
       5217.0000    00000632          8.2547     19.75
       5343.0000    00000640          8.3484     20.00
       5401.0000    00000648          8.3349     20.25
       5459.0000    00000656          8.3216     20.50
       5543.0000    00000664          8.3479     20.75
       5601.0000    00000672          8.3348     21.00
       5659.0000    00000680          8.3221     21.25
       5743.0000    00000688          8.3474     21.50
       5801.0000    00000696          8.3348     21.75
       5859.0000    00000704          8.3224     22.00
       5943.0000    00000712          8.3469     22.25
       6001.0000    00000720          8.3347     22.50
       6059.0000    00000728          8.3228     22.75
       6143.0000    00000736          8.3465     23.00
       6201.0000    00000744          8.3347     23.25
       6259.0000    00000752          8.3231     23.50
       6343.0000    00000760          8.3461     23.75
       6401.0000    00000768          8.3346     24.00
       6459.0000    00000776          8.3235     24.25
       6543.0000    00000784          8.3457     24.50
       6601.0000    00000792          8.3346     24.75
       6659.0000    00000800          8.3238     25.00
       6743.0000    00000808          8.3453     25.25
       6801.0000    00000816          8.3346     25.50
       6859.0000    00000824          8.3240     25.75
       6943.0000    00000832          8.3450     26.00
       7127.0000    00000840          8.4845     26.25
       7184.0000    00000848          8.4717     26.50
       7243.0000    00000856          8.4614     26.75
       7327.0000    00000864          8.4803     27.00
       7385.0000    00000872          8.4690     27.25
       7443.0000    00000880          8.4580     27.50
       7527.0000    00000888          8.4764     27.75
       7585.0000    00000896          8.4654     28.00
       7644.0000    00000904          8.4558     28.25
       7728.0000    00000912          8.4737     28.50
       7785.0000    00000920          8.4620     28.75
       7843.0000    00000928          8.4515     29.00
       7927.0000    00000936          8.4690     29.25
       7984.0000    00000944          8.4576     29.50
       8042.0000    00000952          8.4475     29.75
       8127.0000    00000960          8.4656     30.00
       8205.0000    00000968          8.4762     30.25
       8369.5000    00000976          8.5753     30.50
       8442.0000    00000984          8.5793     30.75
