avgCycles                   n_FFMA_seqs    avgCPI      
                190.0000    00000016          6.7857
                318.0000    00000032          7.2273
                446.0000    00000048          7.4333
                574.0000    00000064          7.5526
                702.0000    00000080          7.6304
                830.0000    00000096          7.6852
                958.0000    00000112          7.7258
               1086.0000    00000128          7.7571
               1214.0000    00000144          7.7821
               1342.0000    00000160          7.8023
               1470.0000    00000176          7.8191
               1598.0000    00000192          7.8333
               1726.0000    00000208          7.8455
               1854.0000    00000224          7.8559
               1982.0000    00000240          7.8651
               2110.0000    00000256          7.8731
               2251.5000    00000272          7.9278
               2379.5000    00000288          7.9317
               2507.5000    00000304          7.9351
               2635.5000    00000320          7.9383
               2763.5000    00000336          7.9411
               2891.5000    00000352          7.9437
               3019.5000    00000368          7.9461
               3147.5000    00000384          7.9482
               3275.5000    00000400          7.9502
               3403.5000    00000416          7.9521
               3531.5000    00000432          7.9538
               3659.5000    00000448          7.9554
               3787.5000    00000464          7.9569
               3915.5000    00000480          7.9583
               4043.5000    00000496          7.9596
               4171.5000    00000512          7.9609
               4299.5000    00000528          7.9620
               4427.5000    00000544          7.9631
               4555.5000    00000560          7.9642
               4683.5000    00000576          7.9651
               4811.5000    00000592          7.9661
               4939.5000    00000608          7.9669
               5067.5000    00000624          7.9678
               5195.5000    00000640          7.9686
               5323.5000    00000656          7.9693
               5451.5000    00000672          7.9700
               5579.5000    00000688          7.9707
               5707.5000    00000704          7.9714
               5835.5000    00000720          7.9720
               5963.5000    00000736          7.9726
               6091.5000    00000752          7.9732
               6219.5000    00000768          7.9737
               6347.5000    00000784          7.9742
               6475.5000    00000800          7.9748
               6603.5000    00000816          7.9752
               6731.5000    00000832          7.9757
               6859.5000    00000848          7.9762
               6987.5000    00000864          7.9766
               7115.5000    00000880          7.9770
               7243.5000    00000896          7.9774
               7371.5000    00000912          7.9778
               7499.5000    00000928          7.9782
               7627.5000    00000944          7.9786
               7755.5000    00000960          7.9789
               7883.5000    00000976          7.9793
               8011.5000    00000992          7.9796
               8139.5000    00001008          7.9799
               8267.5000    00001024          7.9802
               8395.5000    00001040          7.9805
               8523.5000    00001056          7.9808
               8651.5000    00001072          7.9811
               8779.5000    00001088          7.9814
               8907.5000    00001104          7.9816
               9035.5000    00001120          7.9819
               9163.5000    00001136          7.9821
               9291.5000    00001152          7.9824
               9419.5000    00001168          7.9826
               9547.5000    00001184          7.9829
               9675.5000    00001200          7.9831
               9803.5000    00001216          7.9833
               9931.5000    00001232          7.9835
              10059.5000    00001248          7.9837
              10187.5000    00001264          7.9839
              10315.5000    00001280          7.9841
              10443.5000    00001296          7.9843
              10571.5000    00001312          7.9845
              10699.5000    00001328          7.9847
              10827.5000    00001344          7.9849
              10955.5000    00001360          7.9851
              11083.5000    00001376          7.9852
              11211.5000    00001392          7.9854
              11339.5000    00001408          7.9856
              11467.5000    00001424          7.9857
              11595.5000    00001440          7.9859
              11723.5000    00001456          7.9860
              11851.5000    00001472          7.9862
              11979.5000    00001488          7.9863
              12107.5000    00001504          7.9865
              12235.5000    00001520          7.9866
              12363.5000    00001536          7.9868
              12491.5000    00001552          7.9869
              12619.5000    00001568          7.9870
              12747.5000    00001584          7.9872
              12875.5000    00001600          7.9873
              13003.5000    00001616          7.9874
              13131.5000    00001632          7.9875
              13259.5000    00001648          7.9877
              13387.5000    00001664          7.9878
              13515.5000    00001680          7.9879
              13643.5000    00001696          7.9880
              13771.5000    00001712          7.9881
              13899.5000    00001728          7.9882
              14027.5000    00001744          7.9883
              14155.5000    00001760          7.9884
              14283.5000    00001776          7.9885
              14411.5000    00001792          7.9886
              14539.5000    00001808          7.9887
              14667.5000    00001824          7.9888
              14795.5000    00001840          7.9889
              14923.5000    00001856          7.9890
              15051.5000    00001872          7.9891
              15179.5000    00001888          7.9892
              15307.5000    00001904          7.9893
              15435.5000    00001920          7.9894
              15563.5000    00001936          7.9895
              15691.5000    00001952          7.9896
              15819.5000    00001968          7.9896
              15947.5000    00001984          7.9897
              16075.5000    00002000          7.9898
              16203.5000    00002016          7.9899
              16331.5000    00002032          7.9900
              16459.5000    00002048          7.9900
