avgCycles           n_FFMA_seqs    avgCPI          seqSize_IN_KB
        518.0000    00000032         16.1875    0001
       1030.0000    00000064         16.0938    0002
       1542.0000    00000096         16.0625    0003
       2054.0000    00000128         16.0469    0004
       2566.0000    00000160         16.0375    0005
       3078.0000    00000192         16.0312    0006
       3590.0000    00000224         16.0268    0007
       4102.0000    00000256         16.0234    0008
       4614.0000    00000288         16.0208    0009
       5126.0000    00000320         16.0188    0010
       5638.0000    00000352         16.0170    0011
       6150.0000    00000384         16.0156    0012
       6662.0000    00000416         16.0144    0013
       7174.0000    00000448         16.0134    0014
       7686.0000    00000480         16.0125    0015
       8198.0000    00000512         16.0117    0016
       8710.0000    00000544         16.0110    0017
       9222.0000    00000576         16.0104    0018
       9734.0000    00000608         16.0099    0019
      10246.0000    00000640         16.0094    0020
      10758.0000    00000672         16.0089    0021
      11270.0000    00000704         16.0085    0022
      11782.0000    00000736         16.0082    0023
      12294.0000    00000768         16.0078    0024
      12806.0000    00000800         16.0075    0025
      13318.0000    00000832         16.0072    0026
      13835.0000    00000864         16.0127    0027
      14348.0000    00000896         16.0134    0028
      14858.0000    00000928         16.0108    0029
      15372.0000    00000960         16.0125    0030
      15885.0000    00000992         16.0131    0031
      16442.0000    00001024         16.0566    0032
      17321.0000    00001056         16.4025    0033
      18198.0000    00001088         16.7261    0034
      19033.0000    00001120         16.9937    0035
      19846.0000    00001152         17.2274    0036
      20651.0000    00001184         17.4417    0037
      21542.0000    00001216         17.7155    0038
      22383.0000    00001248         17.9351    0039
      23142.0000    00001280         18.0797    0040
      23724.0000    00001312         18.0823    0041
      24330.0000    00001344         18.1027    0042
      24906.0000    00001376         18.1003    0043
      25469.0000    00001408         18.0888    0044
      26056.0000    00001440         18.0944    0045
      26668.0000    00001472         18.1168    0046
      27232.0000    00001504         18.1064    0047
      27807.0000    00001536         18.1035    0048
      28394.0000    00001568         18.1084    0049
      28954.0000    00001600         18.0963    0050
      29538.0000    00001632         18.0993    0051
      30110.0000    00001664         18.0950    0052
      30671.0000    00001696         18.0843    0053
      31304.0000    00001728         18.1157    0054
      31849.0000    00001760         18.0960    0055
      32437.0000    00001792         18.1010    0056
      33024.0000    00001824         18.1053    0057
      33593.0000    00001856         18.0997    0058
      34159.0000    00001888         18.0927    0059
      34726.0000    00001920         18.0865    0060
      35328.0000    00001952         18.0984    0061
      35825.0000    00001984         18.0570    0062
      36474.0000    00002016         18.0923    0063
      37029.0000    00002048         18.0806    0064
      39305.0000    00002176         18.0630    0068
      41683.0000    00002304         18.0916    0072
      43955.0000    00002432         18.0736    0076
      46262.0000    00002560         18.0711    0080
      48615.0000    00002688         18.0859    0084
      50878.0000    00002816         18.0675    0088
      53236.0000    00002944         18.0829    0092
      55573.0000    00003072         18.0902    0096
      57893.0000    00003200         18.0916    0100
      60166.0000    00003328         18.0787    0104
      62550.0000    00003456         18.0990    0108
      64808.0000    00003584         18.0826    0112
      67058.0000    00003712         18.0652    0116
      69387.0000    00003840         18.0695    0120
      71775.0000    00003968         18.0885    0124
      74160.0000    00004096         18.1055    0128
      76418.0000    00004224         18.0914    0132
      78677.0000    00004352         18.0784    0136
      81041.0000    00004480         18.0895    0140
      83367.0000    00004608         18.0918    0144
      85679.0000    00004736         18.0910    0148
      87985.0000    00004864         18.0890    0152
      90354.0000    00004992         18.0998    0156
      92665.0000    00005120         18.0986    0160
      94881.0000    00005248         18.0795    0164
      97231.0000    00005376         18.0861    0168
      99621.0000    00005504         18.0997    0172
     101865.0000    00005632         18.0868    0176
     104207.0000    00005760         18.0915    0180
     106473.0000    00005888         18.0831    0184
     108827.0000    00006016         18.0896    0188
     111114.0000    00006144         18.0850    0192
     113411.0000    00006272         18.0821    0196
     115727.0000    00006400         18.0823    0200
     118095.0000    00006528         18.0905    0204
     120353.0000    00006656         18.0819    0208
     122629.0000    00006784         18.0762    0212
     124938.0000    00006912         18.0755    0216
     127264.0000    00007040         18.0773    0220
     129591.0000    00007168         18.0791    0224
     131942.0000    00007296         18.0842    0228
     134261.0000    00007424         18.0847    0232
     136579.0000    00007552         18.0851    0236
     138880.0000    00007680         18.0833    0240
     141164.0000    00007808         18.0794    0244
     143460.0000    00007936         18.0771    0248
     145814.0000    00008064         18.0821    0252
     148098.0000    00008192         18.0784    0256
     464725.0000    00024576         18.9097    0768
    1785129.0000    00040960         43.5823    1280
    2501535.0000    00057344         43.6233    1792
    3185992.0000    00073728         43.2128    2304
    3885695.0000    00090112         43.1207    2816
    4630728.0000    00106496         43.4826    3328
    5303995.0000    00122880         43.1640    3840
    6002133.0000    00139264         43.0990    4352
    6737935.0000    00155648         43.2896    4864
    7404342.0000    00172032         43.0405    5376
    8124006.0000    00188416         43.1174    5888
