avgCycles                   n_FFMA_seqs    avgCPI      
                190.0000    00000016         11.8750
                318.0000    00000032          9.9375
                574.0000    00000064          8.9688
               1086.0000    00000128          8.4844
               2110.0000    00000256          8.2422
               4171.5000    00000512          8.1475
               8267.5000    00001024          8.0737
              16459.5000    00002048          8.0369
              32891.4333    00004096          8.0301
              78707.4750    00008192          9.6078
             144701.4333    00016384          8.8319
             310915.5667    00032768          9.4884
             921972.7833    00065536         14.0682
            1970967.1667    00131072         15.0373
            5595086.3667    00262144         21.3436
           11292621.8333    00524288         21.5390
           22291624.9000    01048576         21.2590
