avgCycles                   n_FFMA_seqs    avgCPI      
                190.0000    00000016          6.7857
                318.0000    00000032          7.2273
                446.0000    00000048          7.4333
                574.0000    00000064          7.5526
                702.0000    00000080          7.6304
                830.0000    00000096          7.6852
                958.0000    00000112          7.7258
               1086.0000    00000128          7.7571
               1214.0000    00000144          7.7821
               1342.0000    00000160          7.8023
               1470.0000    00000176          7.8191
               1598.0000    00000192          7.8333
               1726.0000    00000208          7.8455
               1854.0000    00000224          7.8559
               1982.0000    00000240          7.8651
               2110.0000    00000256          7.8731
               3147.5000    00000384          7.9482
               4171.5000    00000512          7.9609
               5195.5000    00000640          7.9686
               6219.5000    00000768          7.9737
               7243.5000    00000896          7.9774
               8267.5000    00001024          7.9802
               9291.5000    00001152          7.9824
              10315.5000    00001280          7.9841
              11339.5000    00001408          7.9856
              12363.5000    00001536          7.9868
              13387.5000    00001664          7.9878
              14411.5000    00001792          7.9886
              15435.5000    00001920          7.9894
