
BLK_SIZE: 512
### Runing...
index[ 0],    res:   1.00,  warpIdx: 0,  elapsed:    25078clks,    CPI: 6.13
index[ 1],    res:   1.00,  warpIdx: 1,  elapsed:    25078clks,    CPI: 6.13
index[ 2],    res:   1.00,  warpIdx: 2,  elapsed:    25078clks,    CPI: 6.13
index[ 3],    res:   1.00,  warpIdx: 3,  elapsed:    25078clks,    CPI: 6.13
index[ 4],    res:   1.00,  warpIdx: 0,  elapsed:    25043clks,    CPI: 6.12
index[ 5],    res:   1.00,  warpIdx: 1,  elapsed:    25043clks,    CPI: 6.12
index[ 6],    res:   1.00,  warpIdx: 2,  elapsed:    25043clks,    CPI: 6.12
index[ 7],    res:   1.00,  warpIdx: 3,  elapsed:    25043clks,    CPI: 6.12
index[ 8],    res:   1.00,  warpIdx: 0,  elapsed:    25084clks,    CPI: 6.13
index[ 9],    res:   1.00,  warpIdx: 1,  elapsed:    25084clks,    CPI: 6.13
index[10],    res:   1.00,  warpIdx: 2,  elapsed:    25084clks,    CPI: 6.13
index[11],    res:   1.00,  warpIdx: 3,  elapsed:    25084clks,    CPI: 6.13
index[12],    res:   1.00,  warpIdx: 0,  elapsed:    25051clks,    CPI: 6.12
index[13],    res:   1.00,  warpIdx: 1,  elapsed:    25051clks,    CPI: 6.12
index[14],    res:   1.00,  warpIdx: 2,  elapsed:    25051clks,    CPI: 6.12
index[15],    res:   1.00,  warpIdx: 3,  elapsed:    25051clks,    CPI: 6.12
elapsed_all:   0.017408ms

BLK_SIZE: 544
### Runing...
index[ 0],    res:   1.00,  warpIdx: 0,  elapsed:    30934clks,    CPI: 7.56
index[ 1],    res:   1.00,  warpIdx: 1,  elapsed:    24807clks,    CPI: 6.06
index[ 2],    res:   1.00,  warpIdx: 2,  elapsed:    24807clks,    CPI: 6.06
index[ 3],    res:   1.00,  warpIdx: 3,  elapsed:    24809clks,    CPI: 6.06
index[ 4],    res:   1.00,  warpIdx: 0,  elapsed:    30962clks,    CPI: 7.56
index[ 5],    res:   1.00,  warpIdx: 1,  elapsed:    24772clks,    CPI: 6.05
index[ 6],    res:   1.00,  warpIdx: 2,  elapsed:    24772clks,    CPI: 6.05
index[ 7],    res:   1.00,  warpIdx: 3,  elapsed:    24774clks,    CPI: 6.05
index[ 8],    res:   1.00,  warpIdx: 0,  elapsed:    30931clks,    CPI: 7.56
index[ 9],    res:   1.00,  warpIdx: 1,  elapsed:    24813clks,    CPI: 6.06
index[10],    res:   1.00,  warpIdx: 2,  elapsed:    24813clks,    CPI: 6.06
index[11],    res:   1.00,  warpIdx: 3,  elapsed:    24815clks,    CPI: 6.06
index[12],    res:   1.00,  warpIdx: 0,  elapsed:    30954clks,    CPI: 7.56
index[13],    res:   1.00,  warpIdx: 1,  elapsed:    24780clks,    CPI: 6.05
index[14],    res:   1.00,  warpIdx: 2,  elapsed:    24780clks,    CPI: 6.05
index[15],    res:   1.00,  warpIdx: 3,  elapsed:    24782clks,    CPI: 6.05
index[16],    res:   1.00,  warpIdx: 0,  elapsed:    28193clks,    CPI: 6.89
elapsed_all:   0.021504ms

BLK_SIZE: 576
### Runing...
index[ 0],    res:   1.00,  warpIdx: 0,  elapsed:    30932clks,    CPI: 7.56
index[ 1],    res:   1.00,  warpIdx: 1,  elapsed:    30932clks,    CPI: 7.56
index[ 2],    res:   1.00,  warpIdx: 2,  elapsed:    24805clks,    CPI: 6.06
index[ 3],    res:   1.00,  warpIdx: 3,  elapsed:    24809clks,    CPI: 6.06
index[ 4],    res:   1.00,  warpIdx: 0,  elapsed:    30960clks,    CPI: 7.56
index[ 5],    res:   1.00,  warpIdx: 1,  elapsed:    30960clks,    CPI: 7.56
index[ 6],    res:   1.00,  warpIdx: 2,  elapsed:    24770clks,    CPI: 6.05
index[ 7],    res:   1.00,  warpIdx: 3,  elapsed:    24774clks,    CPI: 6.05
index[ 8],    res:   1.00,  warpIdx: 0,  elapsed:    30929clks,    CPI: 7.55
index[ 9],    res:   1.00,  warpIdx: 1,  elapsed:    30929clks,    CPI: 7.55
index[10],    res:   1.00,  warpIdx: 2,  elapsed:    24811clks,    CPI: 6.06
index[11],    res:   1.00,  warpIdx: 3,  elapsed:    24815clks,    CPI: 6.06
index[12],    res:   1.00,  warpIdx: 0,  elapsed:    30952clks,    CPI: 7.56
index[13],    res:   1.00,  warpIdx: 1,  elapsed:    30952clks,    CPI: 7.56
index[14],    res:   1.00,  warpIdx: 2,  elapsed:    24778clks,    CPI: 6.05
index[15],    res:   1.00,  warpIdx: 3,  elapsed:    24782clks,    CPI: 6.05
index[16],    res:   1.00,  warpIdx: 0,  elapsed:    28191clks,    CPI: 6.89
index[17],    res:   1.00,  warpIdx: 1,  elapsed:    28191clks,    CPI: 6.89
elapsed_all:   0.020736ms

BLK_SIZE: 608
### Runing...
index[ 0],    res:   1.00,  warpIdx: 0,  elapsed:    30930clks,    CPI: 7.55
index[ 1],    res:   1.00,  warpIdx: 1,  elapsed:    30930clks,    CPI: 7.55
index[ 2],    res:   1.00,  warpIdx: 2,  elapsed:    30930clks,    CPI: 7.55
index[ 3],    res:   1.00,  warpIdx: 3,  elapsed:    24809clks,    CPI: 6.06
index[ 4],    res:   1.00,  warpIdx: 0,  elapsed:    30958clks,    CPI: 7.56
index[ 5],    res:   1.00,  warpIdx: 1,  elapsed:    30958clks,    CPI: 7.56
index[ 6],    res:   1.00,  warpIdx: 2,  elapsed:    30958clks,    CPI: 7.56
index[ 7],    res:   1.00,  warpIdx: 3,  elapsed:    24774clks,    CPI: 6.05
index[ 8],    res:   1.00,  warpIdx: 0,  elapsed:    30927clks,    CPI: 7.55
index[ 9],    res:   1.00,  warpIdx: 1,  elapsed:    30927clks,    CPI: 7.55
index[10],    res:   1.00,  warpIdx: 2,  elapsed:    30927clks,    CPI: 7.55
index[11],    res:   1.00,  warpIdx: 3,  elapsed:    24815clks,    CPI: 6.06
index[12],    res:   1.00,  warpIdx: 0,  elapsed:    30950clks,    CPI: 7.56
index[13],    res:   1.00,  warpIdx: 1,  elapsed:    30950clks,    CPI: 7.56
